param,m,k,w,tau,k0,k1,t0,t1,pk,sig,sig_em,ell
128s,1470,834,245,11,12,11,7,4,96,3763,4566,696
128s,1470,834,245,12,11,10,8,4,96,3916,4566,696
128s,1470,834,245,13,10,9,11,2,96,4069,4566,696
128s,1470,834,245,14,10,9,2,12,96,4222,4566,696
128s,1470,834,245,15,9,8,8,7,96,4375,4566,696
192s,2196,1248,366,16,12,12,0,16,143,8304,10832,1040
192s,2196,1248,366,17,12,11,5,12,143,8532,10832,1040
192s,2196,1248,366,18,11,10,12,6,143,8760,10832,1040
192s,2196,1248,366,19,11,10,2,17,143,8988,10832,1040
192s,2196,1248,366,20,10,9,12,8,143,9216,10832,1040
192s,2196,1248,366,21,10,9,3,18,143,9444,10832,1040
192s,2196,1248,366,22,9,8,16,6,143,9672,10832,1040
192s,2196,1248,366,23,9,8,8,15,143,9900,10832,1040
192s,2196,1248,366,24,8,8,0,24,143,10128,10832,1040
192s,2196,1248,366,25,8,7,17,8,143,10356,10832,1040
192s,2196,1248,366,26,8,7,10,16,143,10584,10832,1040
256s,2934,1668,489,22,12,11,14,8,191,14944,20972,1392
256s,2934,1668,489,23,12,11,3,20,191,15248,20972,1392
256s,2934,1668,489,24,11,10,16,8,191,15552,20972,1392
256s,2934,1668,489,25,11,10,6,19,191,15856,20972,1392
256s,2934,1668,489,26,10,9,22,4,191,16160,20972,1392
256s,2934,1668,489,27,10,9,13,14,191,16464,20972,1392
256s,2934,1668,489,28,10,9,4,24,191,16768,20972,1392
256s,2934,1668,489,29,9,8,24,5,191,17072,20972,1392
256s,2934,1668,489,30,9,8,16,14,191,17376,20972,1392
256s,2934,1668,489,31,9,8,8,23,191,17680,20972,1392
256s,2934,1668,489,32,8,8,0,32,191,17984,20972,1392
256s,2934,1668,489,33,8,7,25,8,191,18288,20972,1392
256s,2934,1668,489,34,8,7,18,16,191,18592,20972,1392
256s,2934,1668,489,35,8,7,11,24,191,18896,20972,1392
256s,2934,1668,489,36,8,7,4,32,191,19200,20972,1392
256s,2934,1668,489,37,7,6,34,3,191,19504,20972,1392
256s,2934,1668,489,38,7,6,28,10,191,19808,20972,1392
256s,2934,1668,489,39,7,6,22,17,191,20112,20972,1392
256s,2934,1668,489,40,7,6,16,24,191,20416,20972,1392
256s,2934,1668,489,41,7,6,10,31,191,20720,20972,1392
